1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 870000006010DC21
Is Mission Active?  true
Mission Start:  Mon Aug 26 20:40:00 MDT 2024
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  1925
Total Samples:  4358
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/26/24, 8:40:00 PM,C,28
8/27/24, 12:55:00 AM,C,23.5
8/27/24, 5:10:00 AM,C,22
8/27/24, 9:25:00 AM,C,14.5
8/27/24, 1:40:00 PM,C,41.5
8/27/24, 5:55:00 PM,C,22
8/27/24, 10:10:00 PM,C,10.5
8/28/24, 2:25:00 AM,C,8.5
8/28/24, 6:40:00 AM,C,8
8/28/24, 10:55:00 AM,C,15.5
8/28/24, 3:10:00 PM,C,24.5
8/28/24, 7:25:00 PM,C,16
8/28/24, 11:40:00 PM,C,11.5
8/29/24, 3:55:00 AM,C,9.5
8/29/24, 8:10:00 AM,C,9
8/29/24, 12:25:00 PM,C,22.5
8/29/24, 4:40:00 PM,C,19
8/29/24, 8:55:00 PM,C,12.5
8/30/24, 1:10:00 AM,C,8
8/30/24, 5:25:00 AM,C,6.5
8/30/24, 9:40:00 AM,C,12.5
8/30/24, 1:55:00 PM,C,24.5
8/30/24, 6:10:00 PM,C,22
8/30/24, 10:25:00 PM,C,10.5
8/31/24, 2:40:00 AM,C,8
8/31/24, 6:55:00 AM,C,6.5
8/31/24, 11:10:00 AM,C,20
8/31/24, 3:25:00 PM,C,29
8/31/24, 7:40:00 PM,C,17
8/31/24, 11:55:00 PM,C,10
9/1/24, 4:10:00 AM,C,8
9/1/24, 8:25:00 AM,C,10
9/1/24, 12:40:00 PM,C,23.5
9/1/24, 4:55:00 PM,C,25.5
9/1/24, 9:10:00 PM,C,12
9/2/24, 1:25:00 AM,C,9
9/2/24, 5:40:00 AM,C,8.5
9/2/24, 9:55:00 AM,C,14.5
9/2/24, 2:10:00 PM,C,20
9/2/24, 6:25:00 PM,C,18
9/2/24, 10:40:00 PM,C,9.5
9/3/24, 2:55:00 AM,C,9
9/3/24, 7:10:00 AM,C,8.5
9/3/24, 11:25:00 AM,C,19
9/3/24, 3:40:00 PM,C,29.5
9/3/24, 7:55:00 PM,C,16.5
9/4/24, 12:10:00 AM,C,12
9/4/24, 4:25:00 AM,C,9
9/4/24, 8:40:00 AM,C,12
9/4/24, 12:55:00 PM,C,11.5
9/4/24, 5:10:00 PM,C,20.5
9/4/24, 9:25:00 PM,C,11.5
9/5/24, 1:40:00 AM,C,6
9/5/24, 5:55:00 AM,C,4.5
9/5/24, 10:10:00 AM,C,8.5
9/5/24, 2:25:00 PM,C,9.5
9/5/24, 6:40:00 PM,C,11
9/5/24, 10:55:00 PM,C,4.5
9/6/24, 3:10:00 AM,C,2.5
9/6/24, 7:25:00 AM,C,1.5
9/6/24, 11:40:00 AM,C,17.5
9/6/24, 3:55:00 PM,C,22
9/6/24, 8:10:00 PM,C,11.5
9/7/24, 12:25:00 AM,C,7
9/7/24, 4:40:00 AM,C,5
9/7/24, 8:55:00 AM,C,8.5
9/7/24, 1:10:00 PM,C,21.5
9/7/24, 5:25:00 PM,C,18
9/7/24, 9:40:00 PM,C,9.5
9/8/24, 1:55:00 AM,C,7
9/8/24, 6:10:00 AM,C,6.5
9/8/24, 10:25:00 AM,C,13.5
9/8/24, 2:40:00 PM,C,24
9/8/24, 6:55:00 PM,C,15.5
9/8/24, 11:10:00 PM,C,10
9/9/24, 3:25:00 AM,C,8.5
9/9/24, 7:40:00 AM,C,8
9/9/24, 11:55:00 AM,C,14.5
9/9/24, 4:10:00 PM,C,18
9/9/24, 8:25:00 PM,C,12.5
9/10/24, 12:40:00 AM,C,10
9/10/24, 4:55:00 AM,C,7.5
9/10/24, 9:10:00 AM,C,11
9/10/24, 1:25:00 PM,C,15
9/10/24, 5:40:00 PM,C,9.5
9/10/24, 9:55:00 PM,C,7
9/11/24, 2:10:00 AM,C,7
9/11/24, 6:25:00 AM,C,5
9/11/24, 10:40:00 AM,C,14.5
9/11/24, 2:55:00 PM,C,25.5
9/11/24, 7:10:00 PM,C,9.5
9/11/24, 11:25:00 PM,C,6.5
9/12/24, 3:40:00 AM,C,5.5
9/12/24, 7:55:00 AM,C,5.5
9/12/24, 12:10:00 PM,C,18.5
9/12/24, 4:25:00 PM,C,21
9/12/24, 8:40:00 PM,C,11
9/13/24, 12:55:00 AM,C,8
9/13/24, 5:10:00 AM,C,5.5
9/13/24, 9:25:00 AM,C,10.5
9/13/24, 1:40:00 PM,C,23.5
9/13/24, 5:55:00 PM,C,15.5
9/13/24, 10:10:00 PM,C,8.5
9/14/24, 2:25:00 AM,C,6
9/14/24, 6:40:00 AM,C,5
9/14/24, 10:55:00 AM,C,12
9/14/24, 3:10:00 PM,C,24
9/14/24, 7:25:00 PM,C,14.5
9/14/24, 11:40:00 PM,C,8
9/15/24, 3:55:00 AM,C,6
9/15/24, 8:10:00 AM,C,7.5
9/15/24, 12:25:00 PM,C,18.5
9/15/24, 4:40:00 PM,C,10.5
9/15/24, 8:55:00 PM,C,7
9/16/24, 1:10:00 AM,C,5.5
9/16/24, 5:25:00 AM,C,4.5
9/16/24, 9:40:00 AM,C,9.5
9/16/24, 1:55:00 PM,C,15
9/16/24, 6:10:00 PM,C,13
9/16/24, 10:25:00 PM,C,7
9/17/24, 2:40:00 AM,C,5.5
9/17/24, 6:55:00 AM,C,4.5
9/17/24, 11:10:00 AM,C,15.5
9/17/24, 3:25:00 PM,C,11
9/17/24, 7:40:00 PM,C,5.5
9/17/24, 11:55:00 PM,C,3.5
9/18/24, 4:10:00 AM,C,2
9/18/24, 8:25:00 AM,C,2.5
9/18/24, 12:40:00 PM,C,13.5
9/18/24, 4:55:00 PM,C,15.5
9/18/24, 9:10:00 PM,C,6.5
9/19/24, 1:25:00 AM,C,4
9/19/24, 5:40:00 AM,C,2.5
9/19/24, 9:55:00 AM,C,10
9/19/24, 2:10:00 PM,C,20.5
9/19/24, 6:25:00 PM,C,16.5
9/19/24, 10:40:00 PM,C,7.5
9/20/24, 2:55:00 AM,C,6.5
9/20/24, 7:10:00 AM,C,5.5
9/20/24, 11:25:00 AM,C,16
9/20/24, 3:40:00 PM,C,20.5
9/20/24, 7:55:00 PM,C,11
9/21/24, 12:10:00 AM,C,8
9/21/24, 4:25:00 AM,C,5
9/21/24, 8:40:00 AM,C,6.5
9/21/24, 12:55:00 PM,C,18.5
9/21/24, 5:10:00 PM,C,9.5
9/21/24, 9:25:00 PM,C,4
9/22/24, 1:40:00 AM,C,3
9/22/24, 5:55:00 AM,C,3
9/22/24, 10:10:00 AM,C,3
9/22/24, 2:25:00 PM,C,2.5
9/22/24, 6:40:00 PM,C,3.5
9/22/24, 10:55:00 PM,C,2
9/23/24, 3:10:00 AM,C,1.5
9/23/24, 7:25:00 AM,C,1
9/23/24, 11:40:00 AM,C,8
9/23/24, 3:55:00 PM,C,13
9/23/24, 8:10:00 PM,C,6
9/24/24, 12:25:00 AM,C,4
9/24/24, 4:40:00 AM,C,2.5
9/24/24, 8:55:00 AM,C,3.5
9/24/24, 1:10:00 PM,C,14.5
9/24/24, 5:25:00 PM,C,15.5
9/24/24, 9:40:00 PM,C,6.5
9/25/24, 1:55:00 AM,C,4.5
9/25/24, 6:10:00 AM,C,4.5
9/25/24, 10:25:00 AM,C,12.5
9/25/24, 2:40:00 PM,C,20
9/25/24, 6:55:00 PM,C,12.5
9/25/24, 11:10:00 PM,C,8.5
9/26/24, 3:25:00 AM,C,7
9/26/24, 7:40:00 AM,C,7
9/26/24, 11:55:00 AM,C,14.5
9/26/24, 4:10:00 PM,C,17.5
9/26/24, 8:25:00 PM,C,10.5
9/27/24, 12:40:00 AM,C,8.5
9/27/24, 4:55:00 AM,C,6.5
9/27/24, 9:10:00 AM,C,8.5
9/27/24, 1:25:00 PM,C,19.5
9/27/24, 5:40:00 PM,C,14.5
9/27/24, 9:55:00 PM,C,8.5
9/28/24, 2:10:00 AM,C,6.5
9/28/24, 6:25:00 AM,C,5
9/28/24, 10:40:00 AM,C,14
9/28/24, 2:55:00 PM,C,21
9/28/24, 7:10:00 PM,C,12.5
9/28/24, 11:25:00 PM,C,8
9/29/24, 3:40:00 AM,C,7
9/29/24, 7:55:00 AM,C,7.5
9/29/24, 12:10:00 PM,C,16.5
9/29/24, 4:25:00 PM,C,18
9/29/24, 8:40:00 PM,C,11
9/30/24, 12:55:00 AM,C,9.5
9/30/24, 5:10:00 AM,C,9
9/30/24, 9:25:00 AM,C,10.5
9/30/24, 1:40:00 PM,C,19
9/30/24, 5:55:00 PM,C,13
9/30/24, 10:10:00 PM,C,6
10/1/24, 2:25:00 AM,C,5
10/1/24, 6:40:00 AM,C,4
10/1/24, 10:55:00 AM,C,13
10/1/24, 3:10:00 PM,C,18.5
10/1/24, 7:25:00 PM,C,11
10/1/24, 11:40:00 PM,C,8.5
10/2/24, 3:55:00 AM,C,7.5
10/2/24, 8:10:00 AM,C,7.5
10/2/24, 12:25:00 PM,C,14
10/2/24, 4:40:00 PM,C,16
10/2/24, 8:55:00 PM,C,9
10/3/24, 1:10:00 AM,C,7.5
10/3/24, 5:25:00 AM,C,6.5
10/3/24, 9:40:00 AM,C,12.5
10/3/24, 1:55:00 PM,C,19
10/3/24, 6:10:00 PM,C,11.5
10/3/24, 10:25:00 PM,C,6
10/4/24, 2:40:00 AM,C,4.5
10/4/24, 6:55:00 AM,C,3.5
10/4/24, 11:10:00 AM,C,14
10/4/24, 3:25:00 PM,C,18
10/4/24, 7:40:00 PM,C,10.5
10/4/24, 11:55:00 PM,C,8
10/5/24, 4:10:00 AM,C,7.5
10/5/24, 8:25:00 AM,C,7
10/5/24, 12:40:00 PM,C,15
10/5/24, 4:55:00 PM,C,13.5
10/5/24, 9:10:00 PM,C,7.5
10/6/24, 1:25:00 AM,C,5.5
10/6/24, 5:40:00 AM,C,3.5
10/6/24, 9:55:00 AM,C,10
10/6/24, 2:10:00 PM,C,18
10/6/24, 6:25:00 PM,C,11.5
10/6/24, 10:40:00 PM,C,6.5
10/7/24, 2:55:00 AM,C,5.5
10/7/24, 7:10:00 AM,C,4
10/7/24, 11:25:00 AM,C,10.5
10/7/24, 3:40:00 PM,C,13.5
10/7/24, 7:55:00 PM,C,7
10/8/24, 12:10:00 AM,C,3.5
10/8/24, 4:25:00 AM,C,2
10/8/24, 8:40:00 AM,C,4
10/8/24, 12:55:00 PM,C,14
10/8/24, 5:10:00 PM,C,12
10/8/24, 9:25:00 PM,C,5.5
10/9/24, 1:40:00 AM,C,4
10/9/24, 5:55:00 AM,C,4
10/9/24, 10:10:00 AM,C,7
10/9/24, 2:25:00 PM,C,14.5
10/9/24, 6:40:00 PM,C,9
10/9/24, 10:55:00 PM,C,5
10/10/24, 3:10:00 AM,C,3.5
10/10/24, 7:25:00 AM,C,3.5
10/10/24, 11:40:00 AM,C,11
10/10/24, 3:55:00 PM,C,12.5
10/10/24, 8:10:00 PM,C,7.5
10/11/24, 12:25:00 AM,C,5.5
10/11/24, 4:40:00 AM,C,4.5
10/11/24, 8:55:00 AM,C,6
10/11/24, 1:10:00 PM,C,13
10/11/24, 5:25:00 PM,C,12
10/11/24, 9:40:00 PM,C,7
10/12/24, 1:55:00 AM,C,5
10/12/24, 6:10:00 AM,C,5.5
10/12/24, 10:25:00 AM,C,10.5
10/12/24, 2:40:00 PM,C,15
10/12/24, 6:55:00 PM,C,10.5
10/12/24, 11:10:00 PM,C,6.5
10/13/24, 3:25:00 AM,C,4.5
10/13/24, 7:40:00 AM,C,4
10/13/24, 11:55:00 AM,C,10
10/13/24, 4:10:00 PM,C,10.5
10/13/24, 8:25:00 PM,C,6
10/14/24, 12:40:00 AM,C,5
10/14/24, 4:55:00 AM,C,3
10/14/24, 9:10:00 AM,C,5.5
10/14/24, 1:25:00 PM,C,12
10/14/24, 5:40:00 PM,C,11
10/14/24, 9:55:00 PM,C,6.5
10/15/24, 2:10:00 AM,C,4.5
10/15/24, 6:25:00 AM,C,4
10/15/24, 10:40:00 AM,C,11
10/15/24, 2:55:00 PM,C,13
10/15/24, 7:10:00 PM,C,6.5
10/15/24, 11:25:00 PM,C,4
10/16/24, 3:40:00 AM,C,4.5
10/16/24, 7:55:00 AM,C,4
10/16/24, 12:10:00 PM,C,10
10/16/24, 4:25:00 PM,C,12.5
10/16/24, 8:40:00 PM,C,5.5
10/17/24, 12:55:00 AM,C,4
10/17/24, 5:10:00 AM,C,3.5
10/17/24, 9:25:00 AM,C,4
10/17/24, 1:40:00 PM,C,9.5
10/17/24, 5:55:00 PM,C,6
10/17/24, 10:10:00 PM,C,2.5
10/18/24, 2:25:00 AM,C,2
10/18/24, 6:40:00 AM,C,0.5
10/18/24, 10:55:00 AM,C,7.5
10/18/24, 3:10:00 PM,C,8.5
10/18/24, 7:25:00 PM,C,3.5
10/18/24, 11:40:00 PM,C,1.5
10/19/24, 3:55:00 AM,C,0
10/19/24, 8:10:00 AM,C,0
10/19/24, 12:25:00 PM,C,8
10/19/24, 4:40:00 PM,C,7
10/19/24, 8:55:00 PM,C,2.5
10/20/24, 1:10:00 AM,C,1.5
10/20/24, 5:25:00 AM,C,1.5
10/20/24, 9:40:00 AM,C,4.5
10/20/24, 1:55:00 PM,C,11
10/20/24, 6:10:00 PM,C,6.5
10/20/24, 10:25:00 PM,C,3
10/21/24, 2:40:00 AM,C,0.5
10/21/24, 6:55:00 AM,C,-0.5
10/21/24, 11:10:00 AM,C,1
10/21/24, 3:25:00 PM,C,1
10/21/24, 7:40:00 PM,C,-0.5
10/21/24, 11:55:00 PM,C,-0.5
10/22/24, 4:10:00 AM,C,-0.5
10/22/24, 8:25:00 AM,C,-1
10/22/24, 12:40:00 PM,C,3
10/22/24, 4:55:00 PM,C,4.5
10/22/24, 9:10:00 PM,C,2
10/23/24, 1:25:00 AM,C,1
10/23/24, 5:40:00 AM,C,0
10/23/24, 9:55:00 AM,C,2.5
10/23/24, 2:10:00 PM,C,7.5
10/23/24, 6:25:00 PM,C,5
10/23/24, 10:40:00 PM,C,1.5
10/24/24, 2:55:00 AM,C,0.5
10/24/24, 7:10:00 AM,C,1.5
10/24/24, 11:25:00 AM,C,5
10/24/24, 3:40:00 PM,C,4.5
10/24/24, 7:55:00 PM,C,1
10/25/24, 12:10:00 AM,C,-1
10/25/24, 4:25:00 AM,C,-1
10/25/24, 8:40:00 AM,C,-1.5
10/25/24, 12:55:00 PM,C,1
10/25/24, 5:10:00 PM,C,2.5
10/25/24, 9:25:00 PM,C,0
10/26/24, 1:40:00 AM,C,1
10/26/24, 5:55:00 AM,C,1
10/26/24, 10:10:00 AM,C,2
10/26/24, 2:25:00 PM,C,6.5
10/26/24, 6:40:00 PM,C,3.5
10/26/24, 10:55:00 PM,C,1
10/27/24, 3:10:00 AM,C,1
10/27/24, 7:25:00 AM,C,0
10/27/24, 11:40:00 AM,C,6
10/27/24, 3:55:00 PM,C,8
10/27/24, 8:10:00 PM,C,4.5
10/28/24, 12:25:00 AM,C,3.5
10/28/24, 4:40:00 AM,C,2.5
10/28/24, 8:55:00 AM,C,3
10/28/24, 1:10:00 PM,C,7
10/28/24, 5:25:00 PM,C,6.5
10/28/24, 9:40:00 PM,C,2.5
10/29/24, 1:55:00 AM,C,1.5
10/29/24, 6:10:00 AM,C,1
10/29/24, 10:25:00 AM,C,5
10/29/24, 2:40:00 PM,C,1.5
10/29/24, 6:55:00 PM,C,0
10/29/24, 11:10:00 PM,C,-2
10/30/24, 3:25:00 AM,C,-3
10/30/24, 7:40:00 AM,C,-3
10/30/24, 11:55:00 AM,C,0
10/30/24, 4:10:00 PM,C,0
10/30/24, 8:25:00 PM,C,-1
10/31/24, 12:40:00 AM,C,-0.5
10/31/24, 4:55:00 AM,C,-4.5
10/31/24, 9:10:00 AM,C,-5
10/31/24, 1:25:00 PM,C,-1.5
10/31/24, 5:40:00 PM,C,-2.5
10/31/24, 9:55:00 PM,C,-4.5
11/1/24, 2:10:00 AM,C,-5
11/1/24, 6:25:00 AM,C,-5
11/1/24, 10:40:00 AM,C,-2
11/1/24, 2:55:00 PM,C,-0.5
11/1/24, 7:10:00 PM,C,-3
11/1/24, 11:25:00 PM,C,-4
11/2/24, 3:40:00 AM,C,-4
11/2/24, 7:55:00 AM,C,-4
11/2/24, 12:10:00 PM,C,0
11/2/24, 4:25:00 PM,C,0
11/2/24, 8:40:00 PM,C,-1.5
11/3/24, 12:55:00 AM,C,-2.5
11/3/24, 4:10:00 AM,C,-3.5
11/3/24, 8:25:00 AM,C,-2.5
11/3/24, 12:40:00 PM,C,-0.5
11/3/24, 4:55:00 PM,C,-0.5
11/3/24, 9:10:00 PM,C,-0.5
11/4/24, 1:25:00 AM,C,-0.5
11/4/24, 5:40:00 AM,C,-0.5
11/4/24, 9:55:00 AM,C,-0.5
11/4/24, 2:10:00 PM,C,-0.5
11/4/24, 6:25:00 PM,C,-0.5
11/4/24, 10:40:00 PM,C,-2.5
11/5/24, 2:55:00 AM,C,-6
11/5/24, 7:10:00 AM,C,-6
11/5/24, 11:25:00 AM,C,-3.5
11/5/24, 3:40:00 PM,C,-3.5
11/5/24, 7:55:00 PM,C,-4
11/6/24, 12:10:00 AM,C,-3
11/6/24, 4:25:00 AM,C,-2
11/6/24, 8:40:00 AM,C,-1.5
11/6/24, 12:55:00 PM,C,-1
11/6/24, 5:10:00 PM,C,-1
11/6/24, 9:25:00 PM,C,-1
11/7/24, 1:40:00 AM,C,-1
11/7/24, 5:55:00 AM,C,-1
11/7/24, 10:10:00 AM,C,-1
11/7/24, 2:25:00 PM,C,-0.5
11/7/24, 6:40:00 PM,C,-0.5
11/7/24, 10:55:00 PM,C,-0.5
11/8/24, 3:10:00 AM,C,-0.5
11/8/24, 7:25:00 AM,C,-0.5
11/8/24, 11:40:00 AM,C,-0.5
11/8/24, 3:55:00 PM,C,-0.5
11/8/24, 8:10:00 PM,C,-0.5
11/9/24, 12:25:00 AM,C,-0.5
11/9/24, 4:40:00 AM,C,-0.5
11/9/24, 8:55:00 AM,C,-0.5
11/9/24, 1:10:00 PM,C,-0.5
11/9/24, 5:25:00 PM,C,-2.5
11/9/24, 9:40:00 PM,C,-4
11/10/24, 1:55:00 AM,C,-4.5
11/10/24, 6:10:00 AM,C,-4
11/10/24, 10:25:00 AM,C,-2
11/10/24, 2:40:00 PM,C,-1
11/10/24, 6:55:00 PM,C,-2.5
11/10/24, 11:10:00 PM,C,-3
11/11/24, 3:25:00 AM,C,-2
11/11/24, 7:40:00 AM,C,-2
11/11/24, 11:55:00 AM,C,0
11/11/24, 4:10:00 PM,C,0
11/11/24, 8:25:00 PM,C,-2.5
11/12/24, 12:40:00 AM,C,-2.5
11/12/24, 4:55:00 AM,C,-3.5
11/12/24, 9:10:00 AM,C,-1.5
11/12/24, 1:25:00 PM,C,-1
11/12/24, 5:40:00 PM,C,-3.5
11/12/24, 9:55:00 PM,C,-5.5
11/13/24, 2:10:00 AM,C,-7
11/13/24, 6:25:00 AM,C,-9
11/13/24, 10:40:00 AM,C,-7.5
11/13/24, 2:55:00 PM,C,-4.5
11/13/24, 7:10:00 PM,C,-4
11/13/24, 11:25:00 PM,C,-2.5
11/14/24, 3:40:00 AM,C,-2
11/14/24, 7:55:00 AM,C,-2
11/14/24, 12:10:00 PM,C,-0.5
11/14/24, 4:25:00 PM,C,-1
11/14/24, 8:40:00 PM,C,-3
11/15/24, 12:55:00 AM,C,-4.5
11/15/24, 5:10:00 AM,C,-4.5
11/15/24, 9:25:00 AM,C,-1
11/15/24, 1:40:00 PM,C,0.5
11/15/24, 5:55:00 PM,C,-1
11/15/24, 10:10:00 PM,C,-3
11/16/24, 2:25:00 AM,C,-5
11/16/24, 6:40:00 AM,C,-6.5
11/16/24, 10:55:00 AM,C,-4.5
11/16/24, 3:10:00 PM,C,-4
11/16/24, 7:25:00 PM,C,-7
11/16/24, 11:40:00 PM,C,-7.5
11/17/24, 3:55:00 AM,C,-8.5
11/17/24, 8:10:00 AM,C,-8.5
11/17/24, 12:25:00 PM,C,-5.5
11/17/24, 4:40:00 PM,C,-6
11/17/24, 8:55:00 PM,C,-6.5
11/18/24, 1:10:00 AM,C,-7
11/18/24, 5:25:00 AM,C,-7
11/18/24, 9:40:00 AM,C,-4.5
11/18/24, 1:55:00 PM,C,-4
11/18/24, 6:10:00 PM,C,-6.5
11/18/24, 10:25:00 PM,C,-7.5
11/19/24, 2:40:00 AM,C,-9.5
11/19/24, 6:55:00 AM,C,-10.5
11/19/24, 11:10:00 AM,C,-10
11/19/24, 3:25:00 PM,C,-10
11/19/24, 7:40:00 PM,C,-11.5
11/19/24, 11:55:00 PM,C,-13.5
11/20/24, 4:10:00 AM,C,-13.5
11/20/24, 8:25:00 AM,C,-12
11/20/24, 12:40:00 PM,C,-8.5
11/20/24, 4:55:00 PM,C,-7
11/20/24, 9:10:00 PM,C,-5.5
11/21/24, 1:25:00 AM,C,-5
11/21/24, 5:40:00 AM,C,-5
11/21/24, 9:55:00 AM,C,-4
11/21/24, 2:10:00 PM,C,-1.5
11/21/24, 6:25:00 PM,C,-3
11/21/24, 10:40:00 PM,C,-4.5
11/22/24, 2:55:00 AM,C,-4.5
11/22/24, 7:10:00 AM,C,-5.5
11/22/24, 11:25:00 AM,C,-1.5
11/22/24, 3:40:00 PM,C,0.5
11/22/24, 7:55:00 PM,C,-2
11/23/24, 12:10:00 AM,C,-4
11/23/24, 4:25:00 AM,C,-3
11/23/24, 8:40:00 AM,C,-2
11/23/24, 12:55:00 PM,C,2
11/23/24, 5:10:00 PM,C,0
11/23/24, 9:25:00 PM,C,0
11/24/24, 1:40:00 AM,C,-1.5
11/24/24, 5:55:00 AM,C,-2.5
11/24/24, 10:10:00 AM,C,0
11/24/24, 2:25:00 PM,C,0
11/24/24, 6:40:00 PM,C,-1
11/24/24, 10:55:00 PM,C,-3
11/25/24, 3:10:00 AM,C,-6.5
11/25/24, 7:25:00 AM,C,-8.5
11/25/24, 11:40:00 AM,C,-7.5
11/25/24, 3:55:00 PM,C,-8
11/25/24, 8:10:00 PM,C,-8.5
11/26/24, 12:25:00 AM,C,-7
11/26/24, 4:40:00 AM,C,-5.5
11/26/24, 8:55:00 AM,C,-5
11/26/24, 1:10:00 PM,C,-4
11/26/24, 5:25:00 PM,C,-3.5
11/26/24, 9:40:00 PM,C,-3.5
11/27/24, 1:55:00 AM,C,-3
11/27/24, 6:10:00 AM,C,-3
11/27/24, 10:25:00 AM,C,-3
11/27/24, 2:40:00 PM,C,-2.5
11/27/24, 6:55:00 PM,C,-2.5
11/27/24, 11:10:00 PM,C,-8
11/28/24, 3:25:00 AM,C,-10.5
11/28/24, 7:40:00 AM,C,-11
11/28/24, 11:55:00 AM,C,-10
11/28/24, 4:10:00 PM,C,-10
11/28/24, 8:25:00 PM,C,-11
11/29/24, 12:40:00 AM,C,-11
11/29/24, 4:55:00 AM,C,-11
11/29/24, 9:10:00 AM,C,-10
11/29/24, 1:25:00 PM,C,-9
11/29/24, 5:40:00 PM,C,-10
11/29/24, 9:55:00 PM,C,-11
11/30/24, 2:10:00 AM,C,-11
11/30/24, 6:25:00 AM,C,-11
11/30/24, 10:40:00 AM,C,-9.5
11/30/24, 2:55:00 PM,C,-8
11/30/24, 7:10:00 PM,C,-8
11/30/24, 11:25:00 PM,C,-8.5
12/1/24, 3:40:00 AM,C,-8
12/1/24, 7:55:00 AM,C,-7.5
12/1/24, 12:10:00 PM,C,-5
12/1/24, 4:25:00 PM,C,-5.5
12/1/24, 8:40:00 PM,C,-7
12/2/24, 12:55:00 AM,C,-8
12/2/24, 5:10:00 AM,C,-7.5
12/2/24, 9:25:00 AM,C,-6
12/2/24, 1:40:00 PM,C,-3
12/2/24, 5:55:00 PM,C,-4.5
12/2/24, 10:10:00 PM,C,-5
12/3/24, 2:25:00 AM,C,-5.5
12/3/24, 6:40:00 AM,C,-5
12/3/24, 10:55:00 AM,C,-2.5
12/3/24, 3:10:00 PM,C,-2
12/3/24, 7:25:00 PM,C,-3.5
12/3/24, 11:40:00 PM,C,-4
12/4/24, 3:55:00 AM,C,-4.5
12/4/24, 8:10:00 AM,C,-5
12/4/24, 12:25:00 PM,C,-2
12/4/24, 4:40:00 PM,C,-3.5
12/4/24, 8:55:00 PM,C,-6.5
12/5/24, 1:10:00 AM,C,-6.5
12/5/24, 5:25:00 AM,C,-4.5
12/5/24, 9:40:00 AM,C,-4
12/5/24, 1:55:00 PM,C,-2
12/5/24, 6:10:00 PM,C,-4.5
12/5/24, 10:25:00 PM,C,-6
12/6/24, 2:40:00 AM,C,-7
12/6/24, 6:55:00 AM,C,-8.5
12/6/24, 11:10:00 AM,C,-5
12/6/24, 3:25:00 PM,C,-4
12/6/24, 7:40:00 PM,C,-6.5
12/6/24, 11:55:00 PM,C,-6
12/7/24, 4:10:00 AM,C,-5.5
12/7/24, 8:25:00 AM,C,-5
12/7/24, 12:40:00 PM,C,-0.5
12/7/24, 4:55:00 PM,C,-2.5
12/7/24, 9:10:00 PM,C,-3
12/8/24, 1:25:00 AM,C,-2.5
12/8/24, 5:40:00 AM,C,-1.5
12/8/24, 9:55:00 AM,C,-3.5
12/8/24, 2:10:00 PM,C,-2.5
12/8/24, 6:25:00 PM,C,-5
12/8/24, 10:40:00 PM,C,-7
12/9/24, 2:55:00 AM,C,-9.5
12/9/24, 7:10:00 AM,C,-10.5
12/9/24, 11:25:00 AM,C,-9.5
12/9/24, 3:40:00 PM,C,-7.5
12/9/24, 7:55:00 PM,C,-10
12/10/24, 12:10:00 AM,C,-12.5
12/10/24, 4:25:00 AM,C,-13.5
12/10/24, 8:40:00 AM,C,-13
12/10/24, 12:55:00 PM,C,-12.5
12/10/24, 5:10:00 PM,C,-12.5
12/10/24, 9:25:00 PM,C,-13
12/11/24, 1:40:00 AM,C,-13
12/11/24, 5:55:00 AM,C,-12
12/11/24, 10:10:00 AM,C,-11
12/11/24, 2:25:00 PM,C,-8.5
12/11/24, 6:40:00 PM,C,-7.5
12/11/24, 10:55:00 PM,C,-7.5
12/12/24, 3:10:00 AM,C,-7.5
12/12/24, 7:25:00 AM,C,-7.5
12/12/24, 11:40:00 AM,C,-6
12/12/24, 3:55:00 PM,C,-5
12/12/24, 8:10:00 PM,C,-8
12/13/24, 12:25:00 AM,C,-7
12/13/24, 4:40:00 AM,C,-7
12/13/24, 8:55:00 AM,C,-8.5
12/13/24, 1:10:00 PM,C,-7.5
12/13/24, 5:25:00 PM,C,-8.5
12/13/24, 9:40:00 PM,C,-10
12/14/24, 1:55:00 AM,C,-10
12/14/24, 6:10:00 AM,C,-10
12/14/24, 10:25:00 AM,C,-7.5
12/14/24, 2:40:00 PM,C,-4
12/14/24, 6:55:00 PM,C,-4
12/14/24, 11:10:00 PM,C,-4.5
12/15/24, 3:25:00 AM,C,-6
12/15/24, 7:40:00 AM,C,-6.5
12/15/24, 11:55:00 AM,C,-6.5
12/15/24, 4:10:00 PM,C,-7
12/15/24, 8:25:00 PM,C,-9
12/16/24, 12:40:00 AM,C,-9
12/16/24, 4:55:00 AM,C,-8.5
12/16/24, 9:10:00 AM,C,-7
12/16/24, 1:25:00 PM,C,-4
12/16/24, 5:40:00 PM,C,-4
12/16/24, 9:55:00 PM,C,-4.5
12/17/24, 2:10:00 AM,C,-3.5
12/17/24, 6:25:00 AM,C,-6
12/17/24, 10:40:00 AM,C,-5
12/17/24, 2:55:00 PM,C,-4.5
12/17/24, 7:10:00 PM,C,-5.5
12/17/24, 11:25:00 PM,C,-8.5
12/18/24, 3:40:00 AM,C,-9
